,Name,Price,Orders,Quantity,Amount,Max Quantity
0,20in Monitor,109.99,4101,4129,454148.70999999996,2
1,27in 4K Gaming Monitor,389.99,6230,6244,2435097.56,2
2,27in FHD Monitor,149.99,7507,7550,1132424.5,2
3,34in Ultrawide Monitor,379.99,6181,6199,2355558.0100000002,2
4,AA Batteries (4-pack),3.84,20577,27635,106118.4,7
5,AAA Batteries (4-pack),2.99,20641,31017,92740.83,9
6,Apple Airpods Headphones,150.0,15549,15661,2349150.0,3
7,Bose SoundSport Headphones,99.99,13325,13457,1345565.43,3
8,Flatscreen TV,300.0,4800,4819,1445700.0,2
9,Google Phone,600.0,5525,5532,3319200.0,2
10,LG Dryer,600.0,646,646,387600.0,1
11,LG Washing Machine,600.0,666,666,399600.0,1
12,Lightning Charging Cable,14.95,21658,23217,347094.14999999997,4
13,Macbook Pro Laptop,1700.0,4724,4728,8037600.0,2
14,ThinkPad Laptop,999.99,4128,4130,4129958.7,2
15,USB-C Charging Cable,11.95,21903,23975,286501.25,6
16,Vareebadd Phone,400.0,2065,2068,827200.0,2
17,Wired Headphones,11.99,18882,20557,246478.43,4
18,iPhone,700.0,6842,6849,4794300.0,2
